EAR_L,EAR_R,EAR_AVG,DX,DY,LABEL
0.35946346121464523,0.32201251512335954,0.34211953637706205,-0.2076366492414673,0.028799412875773728,0
0.35427084399467407,0.3347925656176958,0.34435983477136745,-0.03212833398050623,-0.00644520245661097,4
0.33111291294538864,0.32862703718939523,0.33038806913981345,-0.2545103261076418,-0.020366563061371894,0
0.3954553491354283,0.36191867259600113,0.38014252173371044,0.18902748146836085,0.02978666558601902,1
0.38028119890126666,0.3688203112103454,0.37346708710043863,-0.03411591745020727,-0.12802672516453473,2
0.4212466136978032,0.3955736408364134,0.40538223883365093,0.21919018565999965,-0.07371736951503557,1
0.31042172453763317,0.29075808345520643,0.30842360437316996,-0.21449272931054775,-0.03686901414410793,0
0.3788998011008785,0.33785098427301097,0.35565790072573783,0.20736914148055358,-0.057293312089899906,1
0.2779161101993989,0.22722024725954348,0.25565225346328263,-0.1859857449851401,-0.03393174846953138,0
0.20016915535894508,0.15988337740758576,0.1635931162519214,0.06509532929727462,0.0009149095010787473,1
0.3040876446474767,0.27493388255836604,0.279088150124103,0.1326592371226912,-0.033930514910783555,1
0.2599564181409319,0.18206223208085703,0.23741837743009095,-0.1752118428361965,-0.037349268107258866,0
0.38776495151248824,0.377654656868573,0.37819735622523876,-0.24168648564933037,-0.07792922667395544,0
0.34490763436611477,0.3211850901384619,0.32368904260810377,-0.21731540552812717,-0.05272039652145818,0
0.37172941322076064,0.3391676317960136,0.35544682675975403,0.21285304976824243,-0.05481788169278173,1
0.3776415041647224,0.3357751816828164,0.35759831220882793,0.18834083669791626,-0.05310824055652692,1
0.41223652627334073,0.3750172879252187,0.3908818342273084,-0.04267764518165061,-0.14856072041850932,2
0.39401154973774133,0.34202852285604624,0.3689556267293913,-0.019975960160335676,-0.13874262810379093,2
0.39257721080158847,0.3623026222186509,0.37533566765163257,-0.015982533903697808,-0.12940117670229828,2
